[2025-06-26 09:07:00] 📊 CPU: 3.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41548016.0 KB ↓ 819192.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:06:48] 📊 CPU: 3.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.32 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20772984.0 KB ↓ 409592.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:06:36] 📊 CPU: 4.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 1.22 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20772620.0 KB ↓ 409592.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:06:24] 📊 CPU: 4.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20771012.0 KB ↓ 409580.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:06:12] 📊 CPU: 8.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41537504.0 KB ↓ 819136.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:06:00] 📊 CPU: 7.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41534936.0 KB ↓ 819136.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:05:48] 📊 CPU: 6.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.19 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20766460.0 KB ↓ 409564.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:05:36] 📊 CPU: 6.5% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.20 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20766284.0 KB ↓ 409564.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:05:24] 📊 CPU: 6.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20765708.0 KB ↓ 409560.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:05:12] 📊 CPU: 6.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20765264.0 KB ↓ 409432.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
